Codigo Barra;Codigo Pieza;Especificacion;Descripcion;Repuesto;Procedencia;Marca;Unidad;Medida;Precio Venta
1;10101-4M426-M-T;aaaaa;EMPAQUE MOTOR NIS.QG13DE/16V. 98- METAL;KANSAI;;NISSAN;JGO;;0,00
2;10101-8M085-M-T;;EMPAQUE MOTOR NIS.QG16DE/2.0/16V.METAL;KANSAI;TW.;NISSAN;JGO;;0,00
3;MB-500812-J;HN-172L/D349/AN233WK;PASTILLA FRENO DEL.MIT.4G54/4D55/4D56/L200 MONTERO/DELICA  89-94;FBK;JAPON;MITSUBISHI;JGO;9x127.5x49      HN-172L/D349/AN233WK;0,00
4;13101-73030-050;46.122;PISTON TOY.4Y  91MM  1.5X1.5X4;IZUMI/TEIKIN/NPC/TOTO;JAPON;TOYOTA;JGO;050                             46122;0,00
5;13041-38070-STD;R749A;CASQ.BIELA TOY.1UR-FE/2URGSE/URJ20/4.6/V8 L/CRUISER;TAHIO;JAPON;TOYOTA;JGO;STD                             R749A;0,00
6;10101-1E125-LAN;PFS0209;EMPAQUE MOTOR NIS.KA24DE/16V.93- ALTIMA;LANDSTAR;USA;NISSAN;JGO;T/Vx3M/LxS/H;0,00
7;11044-3S500;11044-70F00-NGC/EG9016;EMPAQUE CULATA NIS.KA24DE/KA20/16V. 97-  ok*  CABEZON;LAN/KAN/ERI/NGC*;USA;NISSAN;PZA;CABEZON           EG9016;0,00
8;11044-Z5566-KJ-MT;OEM;EMPAQUE CULATA NIS.FE6TA/24V.  METAL S/GOMA MAS HUECOS/REFRIG.;KANSAI/OEM;TW;NISSAN;PZA;EXACTO 24V.;0,00
9;SPG-1;;PLASTIGAGE     SPG-1 GASOLINA VERDE;FEDERAL MOGUL;USA;VARIOS;PZA;SPG-1;0,00
10;SPR-1;;PLASTIGAGE     SPR-1   DIESEL ROJO;FEDERAL MOGUL;USA;VARIOS;PZA;SPR-1;0,00
11;11122-31050;;GUIA VALV.IN TOY.1GR/V6/4.0/1ZR/2ZR/1.8 COROLLA 08-;DOK/BEN/ROC;JAPON;TOYOTA;PZA;5.5x10.2x41.5;0,00
12;23220-28090;GIP-535/50L/HR/300KPA;BOMBA SUMERJIBLE GAS.TOY.2AZ/1AZ/1GR/1TR/3RZ/2TR/1TR/5VZ;HKT;JAPON;TOYOTA;PZA;38x54x70                     GIP-535/50L/HR/300KPA;0,00
13;21082-EA200-T;;AUTOMATICO VENTILADOR NIS.VQ40/QR40DE/4.0/V6/R51M/FRONTIER/PATHFINDER;NGC;JP;NISSAN;PZA;32x49.5x67x123x171x46ALTO  N-111F;0,00
14;47207-37020;SM-1515/105-11515;BOMBA FRENO TOY.2UZ/XZU300-340/414/424 1-1/16 NEW HIDRAULICO S/T;SEIKEN/JKC;JAPON;TOYOTA;PZA;4PERx105x2SAL/Ax1-1/16xHID;0,00
15;MD-307487-M;187XY32-SA/A589YU32MM;CORREA DIST.187D MIT.6G72/6G73/V6/3.0 SPORT/DELICA;MITSUBOSHI;JAPON;MITSUBISHI;PZA;187D                187XY32-SA/A589YU32MM;0,00
16;44200-0K040-S;44-200-0K020-S-102$u$;CREMALLERA TOY.2TR/2.7/VIGO/HILUX  0k*;TOMITA*;TW;TOYOTA;PZA;;3.982,57
17;56.026.200;QUEZADA;EMPAQUE TAPA VALANCIN NIS.KA24DE/KA20DE/16V.  97-;AJUSA;SPAIN;NISSAN;PZA;;0,00
18;48655-60050;;BUJE TIJERAL INF.TOY.PRADO/4RUNNER/TACOMA 02-15 GRANDE;TZK**;JAPON;TOYOTA;PZA;16x59x59                48655-60050;0,00
19;JPK-F225;40X56X65X20;RETEN VARIOS;JPK;JP;VARIOS;PZA;40X56X65X20          JPK-F225;0,00
20;MD92-S/F;6.682;CAMISAS NIS.MD92 125MM S/F C/SEJA;NW IZUMI;JAPON;NISSAN;JGO;123.5X129X135X205  125MM;0,00
21;MD92-F/F;2027021NS0001-CHILE;CAMISAS NIS.MD92 125MM F/F C/SEJA;NW IZUMI;JAPON;NISSAN;JGO;125X129X135X205 125MM;0,00
22;30610-R8000-T;FIERRO;BOMBA EMBRAGUE NIS.Z24/D21 5/8  (DIAG-CORTO) URVAN T/BAJO  S/RH  FIERRO;JT;TW;NISSAN;PZA;FIERRO-S/RH;0,00
23;30610-U7500-T;FIERRO;BOMBA EMBRAGUE NIS.A12/L16   5/8   RECTO   UNIV. FIERRO;JT;TW;NISSAN;PZA;FIERRO;0,00
24;MD-723202;F4090/NJ-611;RETEN CAJA MIT.4G54;MUS/NOK/NGC/JPK;JAPON;MITSUBISHI;PZA;30x45x6               F4090/NJ-611;0,00
25;90916-03102;ZB73-82/WV73-82;TERMOSTATO TOY.14B/15B/3B/13B    95-;HKT/TAMA;JAPON;TOYOTA;PZA;ZB73-82/WV73-82;0,00
26;23100-BZ010;GIP-517/90L/HR300KPÀ;BOMBA SUMERJIBLE GAS.DAI.K3VE/TOY.3SZVE 06- GA15/GA16/SR18/KA24 E/ANCHO;HKT;JAPON;TOYOTA;PZA;38x66.5x108/E/ANCHO       GIP-517/90L/HR300KPÀ;0,00
27;27;;CHICLERAS  EN GRAL.50-80-105-115-130-90-168-55 VARIOS;ARG.;ARG.;VARIOS;PZA;varios;0,00
28;30610-R9500-T;30610-01N11/-R8000;BOMBA EMBRAGUE NIS.Z24/D215/8  (DIAG-CORTO) URVAN T/BAJO S/RH  ALUM.;FIC/SQM/JT;TW;NISSAN;PZA;ALUMINIO-S/RH;0,00
29;15188-74050-G;15188-74050-SANWA;ORRING BOMBA ACEITE TOY.3S-FE/4S-FE/5S-FE;GENUINO/O/SANWA;JAPON;TOYOTA;PZA;0K***;0,00
30;74012/TA-946;569125  JUNTOS;LIQUIDO HIDRAULICO  TYPE-A  ROJO EMBASE-NEGRO;TYPE A/GOLDEN;USA;VARIOS;PZA;569125/TA-946;0,00
31;31;56x67x6;EMPAQUE TUBO ESCAPE TOY.3S  56x67x6;VERDE;TW;TOYOTA;PZA;56x67x6;0,00
32;JPK-224N;JPK-224N  39.6x52x10x11;RETEN ROSTER MIT.;JPK;JP;MITSUBISHI;PZA;39.6X52X10X11;0,00
33;90311-25011;T1174;RETEN CAJA TOY.2E/5A  ok*;MUS/NOK/JPK;JAPON;TOYOTA;PZA;25x37x8                         T1174/NJ-617;0,00
34;90311-22103;T1185  22x36x8;RETEN TOY;MUSASHI;JAPON;TOYOTA;PZA;22x36x8;0,00
35;33368-12042-G;;SINCRONIZADOR CAJA TOY.3SFE;GENUINO;JAPON;TOYOTA;PZA;56x72x8x7  JPK-435N;0,00
36;28.6x43x6.5;28.6x43x6.5;RETEN CAJA TOY;JPK;JP;TOYOTA;PZA;28.6X43X6.5;0,00
37;11044-8M010;EG912 /THC6515;EMPAQUE CULATA NIS.QG16DE/SENTRA 1600cc.  94-;TOWA;TW.;NISSAN;PZA;EG912 /THC6515;0,00
38;01253-663-003;35x62x10x16.5;RETEN RUEDA HONDA SUZUKI;JKP;JP;HONDA/SUZ;PZA;35x62x10x16.5;0,00
39;04465-42160-J;PF-1524/A742K;PASTILLA FRENO DEL.TOY.2ZR/NZE151H/ZRE142/RAV4/NOAH/VOXY/COROLLA 05-;NISSHINBO;JAPON;TOYOTA;JGO;14x139x51   PF-1524/A742K;0,00
40;0164-25-060;TMZ-103 /GUMZ3;CRUCETA MAZ.KIA/TITAN;TOYO;JAPON;MAZDA;PZA;32x92   TMZ-103                  GUMZ-3;0,00
41;04495-42010;TN2333   Pedir    ZAPATAS;KIT BALATAS TRAS.TOY.RAV4   96-02;NS;JAPON;TOYOTA;PZA;8x14x56;0,00
42;341.232;;AMORTIGUADOR DEL.R/L TOY.HILUX/SURF/4RUNNER 95/11-02/11 T/S;KYB/ROJO;JAPON;TOYOTA;PZA;190x340x545T/D/COMPLETO  341232;0,00
43;SPNS127803;NI-701/23x37x5PER;PUNTA HOMOCINETICO INT.NIS.VG30/VG33  90-95- COPA COMPL/INT/C/TRICETA;CIB;TW;NISSAN;PZA;27x37x5PER;0,00
44;04111-11010-J;;EMPAQUE MOTOR TOY.2E;KGK;JAPON;TOYOTA;JGO;75x100x8.5;0,00
45;57307AYA1;HI-CAP57307AYA1-9/MB-6644;RODAMIENTO RUEDA TRAS.MIT.4G64/KB5T/L200 MONTERO;KOYO;JAPON;MITSUBISHI;PZA;40x80x16x20  HI-CAP57307AYA1;0,00
46;13549-37010-G;13549-37020;GUIA CADENA TOY.2ZRFE 13- CURVO;GENUINO/G;ORIGINAL;TOYOTA;PZA;1PERx99.5xCURVO;0,00
47;04111-11050-J;04111-11054-J;EMPAQUE MOTOR TOY.3E/1.5;KGK;JAPON;TOYOTA;JGO;80x100x8.5;0,00
48;04111-11050;11010-LAN/04111-11054-NGC;EMPAQUE MOTOR TOY.3E/1.5;KAN/LAN/NGC*;TW.;TOYOTA;JGO;80x100x8.5;0,00
49;ME-521506;MB-44;DISCO EMBRAGUE MIT.6D14/6D15   ESTRIA-CONICO-ALTO;VALEO/D;KOREA;MITSUBISHI;PZA;350x220x14;0,00
50;04111-11026;04111-11020-KJ/04111-11010;EMPAQUE MOTOR TOY.2E/1.3;ENDO/KAN/NGC;TW.;TOYOTA;JGO;75x100x8.5;168,51
51;MR-112891;;BUJE TIJERAL MIT.4M40  02-;TZK/B;JAPON;MITSUBISHI;PZA;16.5x60x.5x60               MR-112891;0,00
52;04465-42160-J-FBK;HN-524L;PASTILLA FRENO DEL.TOY.2ZR/NZE151H/ZRE142/RAV4/NOAH/VOXY/COROLLA 05-;FBK;JAPON;TOYOTA;JGO;14x139x50                     HN-524L;0,00
53;04111-11140;;EMPAQUE MOTOR TOY.4EFE/1.3;KANSAI/ERISTIC/NGC;TW.;TOYOTA;JGO;75x100x8.5;0,00
54;04111-11150;;EMPAQUE MOTOR TOY.5EFE/1.5/4EFE/RETEN CIG.GRANDE CAMBIAR TW.;TOW/NPC/KAN/LAND/NGC;TW.;TOYOTA;JGO;80x100x8.5;0,00
55;04111-58070-M;;EMPAQUE MOTOR TOY.14B METAL 89-;LAN/KANSAI;TW.;TOYOTA;JGO;;0,00
56;04111-13023;04111-13030;EMPAQUE MOTOR TOY.4K;LAN/KAN*/NNP/NGC;TW.;TOYOTA;JGO;;0,00
57;04111-13040-J;;EMPAQUE MOTOR TOY.5K/1.5  83-;KGK;JAPON;TOYOTA;JGO;;0,00
58;04111-13040;04111-13046-NGC;EMPAQUE MOTOR TOY.5K/1.5  83-;KAN/NGC*/TOWA/LAN/ERISTIC;TW.;TOYOTA;JGO;THF9020;0,00
59;MB-633926;;ESTABILIZADOR MIT.6G72/6G74/4G54  O/P  ok*;555/TRC;JAPON;MITSUBISHI;PZA;12x10x126xO/P;100,64
60;04111-15020;15.050;EMPAQUE MOTOR TOY.3A/2A/8V.;LAN/KAN/NGC/TOWA;USA;TOYOTA;JGO;;0,00
61;16100-B9010-T;GWT-100A;BOMBA AGUA TOY.1SZ-FE/2SZ/3SZ/K3VE/1.0/1.3/PLASTZ/VITZ/YARIS 09- 3PER 0k***;NPC/NGC;TW;TOYOTA/SUZUKI;PZA;3PERx5PER;0,00
62;62;;EMPAQUE CARBURADOR TOY.2Y/3Y/4Y/NIS.NA20;S/M;S/M;TOYOTA;PZA;;0,00
63;04111-15090-T;04111-15080-NPC;EMPAQUE MOTOR TOY.5A-FE/AE100/91-CARB.;KAN/ERI/NPC;TW.;TOYOTA;JGO;;0,00
64;57699-68326;;GRASA ALTA TEMPERATURA #2  453GRAMOS  ok*;AMALIA;USA;VARIOS;PZA;#2;0,00
65;04495-0D060-T;;KIT BALATAS TRAS.TOY.YARIS 14-;J-FBK;JGO;TOYOTA;JGO;30x175;408,00
66;04111-16025;04111-16072/75-KAN;EMPAQUE MOTOR TOY.4AG-ELU/16V.84-87;TOWA/KANSAI*;TW.;TOYOTA;JGO;EF0130/THF9041;0,00
67;04111-16130/1;THF9047/EF0150 /-16131;EMPAQUE MOTOR TOY.4AFE/1.6/16V./87/91/CARB.;TOWA/NPC;TW.;TOYOTA;JGO;THF9047/EF0150;0,00
68;68;74x98x12;RETEN  VARIOS  74x98x12;S/M;S/M;VARIOS;PZA;74x98x12;0,00
69;MR-594954-T;JY2031/TH03027/MN-103586;RODAMIENTO MASERO RUEDA HUB DEL.MIT.4M40/TIBURON/TRITON/MONTERO 01-;TOMITA/JOMO/HASAKI;TW;MITSUBISHI;PZA;30DTSx4PERx79x95x6PERx82x152;0,00
70;54570-ED50A;;BUJE TIJERAL INF.NIS.HR15/HR16/MR18/MR20;TZK/TRC;JAPON;NISSAN;PZA;;0,00
71;71;;ORRING BOMBA ACEITE TOY.2TZ/LUCIDA;N/N;JAPON;TOYOTA;PZA;;0,00
72;16100-B9010;GWT-100A/16100-29115;BOMBA AGUA TOY.1SZ-FE/2SZ/3SZ/K3VE/1.0/1.3/PLASTZ/VITZ/YARIS 09- 3PER 0k***;GMB;JAPON;TOYOTA/SUZUKI;PZA;3PERx5PER;330,15
73;13506-21030;120S;CADENA DIST.TOY.2NZFE/1.3 120S SENC.YARIS/PROBOX P/CORTO;EK;JAPON;TOYOTA;PZA;120S P/CORTO;0,00
74;04111-16220;;EMPAQUE MOTOR TOY.5A-FE/AE100/91-INY.;OSAKANSAI;TW.;TOYOTA;JGO;;278,63
75;04111-50380-M;04111-50120/THF9181/EF00150;EMPAQUE MOTOR TOY.2UZ-FE/4.7/V8/TUNDRA/SEQUOIA/LX470   98-05   METAL;ENDO/NGC;TW;TOYOTA;JGO;42x60x7/95x113x8.5;1.053,48
76;42410-12240-T;TH01013;RODAMIENTO MASERO RUEDA HUB TRAS.TOY.COROLLA 01-07 S/A;HASAKI;TW;TOYOTA;PZA;4PERx74x84.5x84.5x4PERx82.5x112;0,00
77;444.229;ok*;AMORTIGUADOR TRAS.TOY.SURUBI/LUCIDA  O/P INVERTIDO/ED33 TRAS.CIVILIAN;KYB/AZUL;JAPON;TOYOTA;PZA;620xO/P/G/A/INV.   444229;0,00
78;04111-17010-M;EF0530;EMPAQUE MOTOR TOY.1HZ     METAL;KAN/TOWA/LAN/ERI/NPC/NGC;TW.;TOYOTA;JGO;EF0530;0,00
79;30610-T8901-T;?¿;BOMBA EMBRAGUE NIS.Z24/D21 5/8  (DIAG-CORTO) URVAN T/BAJO S/LH   ALUM.;SQM/JT/FIC;TW;NISSAN;PZA;ALUMINIO-S/LH;0,00
80;04111-17020;THF9212;EMPAQUE MOTOR TOY.1HD-T/TURBO/4.2;TOWA;TW.;TOYOTA;JGO;THF9212;0,00
81;04111-22040-T;THF9214;EMPAQUE MOTOR TOY.1ZZ-FE/3ZZ-FE   97-;TOWA/NGC/LANDSTAR;TW.;TOYOTA;JGO;THF9214;0,00
82;16361-0L020;TA-4281;ASPA VENTILADOR TOY.1KD/2KDFTV/3.0/2.5 VIGO 04-;HT;TW;TOYOTA;PZA;89x129x7ALETAS                    TA-4281;0,00
83;21060-VW200;NI-8581    $US.10-LEON;ASPA VENTILADOR NIS.ZD30DDTI/QR25DE/E25  03-;HT;TW;NISSAN;PZA;93.5x135.5x8ALETAS            NI-8581;0,00
84;17801-31120-S;PEDIR;FILTRO AIRE TOT.3UZFE LEXUS;TOMITA;TW;TOYOTA;PZA;;0,00
85;04111-35050;F9098;EMPAQUE MOTOR TOY.22R NEW;LAN/NPC/TOW/ERI/KAN;USA;TOYOTA;JGO;F9098;0,00
86;8-94408-840-1;894408-840-0;BUJE TIJERAL SUP.ISU.4ZD1/4ZE1 CHICO;NSO/TRC*;JAPON;ISUZU;PZA;18x38x45                 8-94408-840-1/2/3;0,00
87;UB39-32-220B;SP-1531;BRAZO PITMAN MAZ.B2000/B2200 2WD/4WD 89-;555;JAPON;MAZDA;PZA;14x43DTSx28xRECTO              SP-1531;0,00
88;04111-37031;;EMPAQUE MOTOR TOY.21R;LANDSTAR;USA;TOYOTA;JGO;;0,00
89;30502-AA051;FCR62-42-13/2E pedir;RODAMIENTO DESPLAZADOR SUB.EJ20/EJ25/2.0 IMPREZA/LEGACY;NTN;JAPON;SUBARU;PZA;33x65x25x34x68                      FCR62-42-13/2E;0,00
90;TK-NS159-O;13070-53F10;KIT DISTRIBUCION CAD.NIS.KA20DE/16V. NEW 88S Y 48S;TW;TW;NISSAN;JGO;88S Y 48S  p/autor.reb.            TK-NS159-O;0,00
91;48702-35040;;BUJE BARRA TENSOR TRAS.TOY.HILUX/4RUNNER  95-98  0k*  GRANDE  G/M;TZK/B;JAPON;TOYOTA;PZA;GOMA/METAL;0,00
92;04111-54024;04111-54050;EMPAQUE MOTOR TOY.L/2L/ASBESTO OLD 83-88;KAN/LAN/ERI/TOWA/NGC;USA;TOYOTA;JGO;;0,00
93;22100-85F00-DK XXXX;TYC560/CS-022;PRENSA EMBRAGUE SUZ.H20A/J20A MIT.ESCUDO B/ALTO/2L B/BAJO CARO NO PEDIR XXX;EXEDY/P;JAPON;SUZUKI;PZA;225x150x264xB/ALTO/224150x264  TYC560/CS-022;0,00
94;04111-54084-M;04111-54080-KJ /-54084-HL;EMPAQUE MOTOR TOY.2L-T/2.8/88- 3L-T METAL VENT. T/ORG;ERI/NGC*/KANSAI*/HL;TW.;TOYOTA;JGO;;0,00
95;95;;CAPUCHON BOBINA IND.TOY.1TR/2TR/NIS. UNIVERSAL;USA;USA;TOYOTA;PZA;;0,00
96;04111-54095-M;04111-54093-M/04111-54090-KJ;EMPAQUE MOTOR TOY.3L-T/3.0/88- 2L-T METAL;ENDO/KAN*;TW;TOYOTA;JGO;;267,45
97;12010-EA200-025;N9554  12030-EA200;PISTON NIS.VQ40DE/V6/4.0/24V. 95.5MM  1.2x1.2x2.5  FRONTIER;IZUMI;JAPON;NISSAN;JGO;025                            N9554;1.056,13
98;11044-4M700;CHP-80190GR;EMPAQUE CULATA NIS.QG18DE/16V./1.8  98- ASBESTO;NPC/PEVISA/NGC;JP;NISSAN;PZA;ASBESTO;0,00
99;10101-EE027;;EMPAQUE MOTOR NIS.HR16DE/HR15DE METAL;LAN/KANSAI;TW;NISSAN;JGO;40x52x7/85x117x8.5;0,00
100;RC-TX80;7.288;JGO.CABLES BUJIA TOY.1RZ/2RZ  NEW  89- DELG/LARGO. ok*;NGK/CABLE;JAPON;TOYOTA;JGO;7288/RC-TX80;0,00
101;NSC-53;NSC-53;PRENSA EMBRAGUE NIS.QD32/2.5/3.5/KA24/12V.FRONTIER/ALTIMA 98- DIAF/ALTO;VALEO/P;KOREA;NISSAN;PZA;250x160x280  DIAF/ALTO            NSC-53;0,00
102;471087/B2188/333067-RH;;AMORTIGUADOR DEL.RH TOY.STARLET  89/12/94/05/96/01  COMPL.0k***;UNICOR/KANEKO;JP.;TOYOTA;PZA;252T/D/COMPLETO 471087/B2188/333067-RH;0,00
103;12372-15220-T;;SOPORTE CAJA TRAS.TOY.4AF/7AFE      00-;JYR/TH**;KOREA;TOYOTA;PZA;ok*;0,00
104;L610003-T;10330-7-KAN;ESTABILIZADOR DEL.TOY.3S NOAH LITEACE OLD;MIZUMO;JP.;TOYOTA;PZA;12x119                          l610003-t;0,00
105;13041-38070-025;R749A;CASQ.BIELA TOY.1UR-FE/2URGSE/URJ20/4.6/V8 L/CRUISER;TAHIO;JAPON;TOYOTA;JGO;025                        R749A;0,00
106;47201-12270;;BOMBA FRENO TOY.2T/3T/13/16 CORONA COROLLA;SQM;TW;TOYOTA;PZA;2PERx180xS/ARxC/Tx13/16xFIERRO;0,00
107;13041-38070-050;R749A;CASQ.BIELA TOY.1UR-FE/2URGSE/URJ20/4.6/V8 L/CRUISER;TAHIO;JAPON;TOYOTA;JGO;050                        R749A;0,00
108;DAC3871W-3CS63;DAC3871W3CS63;RODAMIENTO RUEDA DEL.TOY.YARIS/PROBOX/VITZ/ECHO 99-05 ok*** ALTO;WELMMET;KOREA;TOYOTA;PZA;38x71x39              DAC3871W-3CS63/38DWD22;126,38
109;15A/SPY-029;24X34;TRICETA TOY.1C/2C  24X34;CIB/KAN;JP;TOYOTA;PZA;24X34                   SYP-029/15A;0,00
110;MR-418068-S;;RODAMIENTO MASERO RUEDA HUB TRAS..MIT.MONTERO;TOMITA;TW;MITSUBISHI;PZA;33DTSx4PERx106x115x6PERx82x152;0,00
111;11213-74040-T;ET060C /VC924G-01N;EMPAQUE TAPA VALANCIN TOY.3S-GE/2.0  CAMRY  90-;TOWA;TW.;TOYOTA;PZA;ET060C /VC924G-01N;0,00
112;344.254;Precio bajo  ok*;AMORTIGUADOR TRAS.R/L TOY.4RUNNER/HILUX/SURF 89-08-95-11- O/P/G/A;KYB/ROJO;JAPON;TOYOTA;PZA;540xO/P/G/A       344254/344288-CARO;0,00
113;MR-232484;DM-059;DISCO EMBRAGUE HYU.ATOS/KIA PICANTO/MIT.4A31/H57A PAJERO/JUNIOR;AISIN/D;JAPON;MITSUBISHI;PZA;180x125x24x20/179x123x24x20/HD-65;0,00
114;344.294;;AMORTIGUADOR DEL.R/L MIT.NATIVA/CHALENGER  98- O/P;KYB/ROJO;JAPON;MITSUBISHI;PZA;355xO/P/M/D      344294;0,00
115;344.295;;AMORTIGUADOR TRAS.R/L MIT.NATIVA /CHALENGER 98-SPORT 96- O/O;KYB/ROJO;JAPON;MITSUBISHI;PZA;570xO/O/G/D/M/D  344295;0,00
116;344.300;;AMORTIGUADOR TRAS.R/L MIT.MONTERO/TIBURON 00-07- O/P;KYB/ROJO;JAPON;MITSUBISHI;PZA;585xO/P/M/D    344300;0,00
117;344.410;;AMORTIGUADOR TRAS.R/L TOY.4RUNNER/PRADO 03-  O/P;KYB/ROJO;JAPON;MITSUBISHI;PZA;580xO/P/M/A   344410;0,00
118;344.416;;AMORTIGUADOR TRAS.R/L TOY.PRADO/HILUX 93-02- REF.;KYB/ROJO;JAPON**;TOYOTA;PZA;582xO/P/M/A   344416;0,00
119;12010-11M02-025;;PISTON NIS.E15S   76MM 1.5x1.5x4;NPC;JAPON;NISSAN;JGO;025-NPC;0,00
120;344.439;;AMORTIGUADOR TRAS.R/L NIS.MURANO 03-  O/P;KYB/ROJO;JAPON;NISSAN;PZA;300xO/P 344439;0,00
121;344.453;;AMORTIGUADOR DEL.R/L NIS.TERRACAN  01- O/P;KYB/ROJO;JAPON;NISSAN;PZA;345xO/P/M/D   344453;0,00
122;344.454;;AMORTIGUADOR TRAS.R/L NIS.TERRACAN 01- O/P;KYB/ROJO;JAPON;NISSAN;PZA;530xO/P/M/A   344454;0,00
123;344.463;;AMORTIGUADOR DEL.R/L NIS.URVAN E24/E25  98- O/P;KYB/ROJO;JAPON;NISSAN;PZA;455xO/P/M/A    344463;0,00
124;344.469;;AMORTIGUADOR DEL.R/L NIS.FRONTIER/D22-4WD 03- O/P;KYB/ROJO;JAPON;NISSAN;PZA;305xO/P/M/D   344469;0,00
125;344.484;;AMORTIGUADOR TRAS.R/L TOY.HIACE 96-  REGIUS invertido  O/P;KYB/ROJO;JAPON;TOYOTA;PZA;330xO/P/G/A/INV.  344484;0,00
126;344.493;;AMORTIGUADOR DEL.R/L TOY.HIACE  05-   O/P;KYB/ROJO;JAPON;TOYOTA;PZA;270xO/P/M/D  344493;0,00
127;345.056;;AMORTIGUADOR TRAS.R/L NIS.PATHFINDER-R51  05-  REF. O/O;KYB/ROJO;JAPON;NISSAN;PZA;420xO/O/M/D/M/D   345056;0,00
128;349.015;E2979/349015;AMORTIGUADOR TRAS.R/L TOY.2TR HILUX/VIGO  05/08/01- O/O/G/A/G/A 0k*;KYB/ROJO;JAPON;TOYOTA;PZA;610xO/O/G/A/G/A   349015/E2979/48531-0K100;0,00
129;349.017;;AMORTIGUADOR TRAS.R/L TOY.HILUX/VIGO/FORTUNER  05/02-  O/P;KYB/ROJO;JAPON;TOYOTA;PZA;565xO/P 349017;0,00
130;ME-202851;95X114X12/F4244;RETEN CIGÜEÑAL TRAS.4M40;MUSASHI/THO;JAPON;TOYOTA;PZA;95x114x12/94.5x114x12  F4244;0,00
131;443.240;KA1028;AMORTIGUADOR TRAS.R/L NIS.D21/D22-4WD 86- O/O;KYB/AZUL;JAPON;NISSAN;PZA;565xO/O/G/D/G/D   443240;0,00
132;443.254;;AMORTIGUADOR TRAS.R/L TOY.HILUX-4WD  84- O/O;KYB/AZUL;JAPON;TOYOTA;PZA;580xO/O/G/A/G/A   443254;0,00
133;443.290;KA1036/TOK-2659;AMORTIGUADOR TRAS.R/L MIT.L200  96- O/O;KYB/AZUL;JAPON;MITSUBISHI;PZA;660xO/O/G/D/G/D   443290;0,00
134;443363 XXXXXXXXX;HIDR. (no pedir caro);AMORTIGUADOR TRAS.R/L NIS.TERRANO 99- O/O(no pedir caro-ojo) XXXXXXXXXXXXXXXX;KYB/AZUL;JAPON;NISSAN;PZA;670xO/O/M/D/M/A     443363;0,00
135;444.060;KA2611;AMORTIGUADOR DEL.R/L MIT.CANTER  86- O/P 2E REF;KYB/AZUL;JAPON;MITSUBISHI;PZA;550xO/P/G/D  444060;0,00
136;444.080;KA2019A;AMORTIGUADOR TRAS.R/L MIT.DELTA  78- O/O;KYB/AZUL;JAPON;MITSUBISHI;PZA;535xO/O/M/D/M/A   444080;0,00
137;444.107;KA2027;AMORTIGUADOR TRAS.R/L TOY.F/2F/3F  HZJ75  90- O/O;KYB/AZUL;JAPON;TOYOTA;PZA;672xO/O/G/A/G/A   444107/183010/3374-UNI;0,00
138;444.114;KA2786  BJ70/75;AMORTIGUADOR DEL.R/L TOY.F/2F/3F/3S TRAS.ED33  85-98- O/P;KYB/AZUL;JAPON;TOYOTA;PZA;444114    183011/3373-UNI;0,00
139;444.117;KA2629;AMORTIGUADOR DEL.R/L MIT.L200-4WD CORBATA O/P;KYB/AZUL;JAPON;TOYOTA;PZA;360xO/P/CORBATA 444117;0,00
140;12010-11M02-050;N7606/44125;PISTON NIS.E15S   76MM 1.5x1.5x4;TEIKIN/TOTO/NPC;JAPON;NISSAN;JGO;050                             N7606;0,00
141;183075/3468;3468 DEL;AMORTIGUADOR DEL.R/L NIS.ED33/CIVILIAN;UNICOR;KOREA;NISSAN;PZA;540xO/P/G/A  183075/3468;0,00
142;444.128;;AMORTIGUADOR DEL.R/L MIT.H100  93- O/P;KYB/AZUL;JAPON;MITSUBISHI;PZA;360xO/P/M/D  444128;0,00
143;54613-41G00;54613-27N10;BUJE BARRA ESTABILIZADOR NIS.TERRANO D21 TUNEL;TRC;JAPON;NISSAN;PZA;25x36x43x43xTUNEL54613-27N10/41G00;0,00
144;04495-0K020-FBK;FN-2395/FN-2K020;KIT BALATAS TRAS.FRENO FRENO TOY.2TR/VIGO/HILUX/KUN40;FBK;JAPON;TOYOTA;JGO;50x252;0,00
145;48815-12080;;BUJE BARRA ESTABILIZADOR TOY.TUNEL;TRC;JAPON;TOYOTA;PZA;18x31x41 TUNEL;0,00
146;554.128;KG54317;AMORTIGUADOR TRAS.R/L TOY.4RUNNER/HILUX/SURF 95-11- O/P/G/A;KYB/PLOMO;JAPON;TOYOTA;PZA;520xO/P/G/A   554128;0,00
147;554.131;KG5462 pedir ok*;AMORTIGUADOR TRAS.R/L TOY.TACOMA 4WD  95/01- O/O;KYB/PLOMO;JAPON;TOYOTA;PZA;575xO/O/G/A/G/A   554131;0,00
148;31470-35180-G;CRT-121;CILINDRO AUXILIAR EMBRAGUE TOY.1GRFE TACOMA;GEN/AISIN/JBS;JAPON;TOYOTA;PZA;2PERx100xS/LHx19MM;329,44
149;MD-367089-STD;43.278;PISTON HYUN.MIT.6G72/V6  91.1MM R/L 24V. 1.5x1.5x3 NEW  PLANO M/METIDO 4 PUNTAS;TEIKIN/NPC*;KOREA;MITSUBISHI;JGO;STD  MEDIO METIDO 4 PUNTAS;0,00
