Codigo Barra;Codigo Pieza;Especificacion;Descripcion;Repuesto;Procedencia;Marca;Unidad;Medida;Precio Venta
2.693;13041-63020-STD;R024A/CB-1404/CB-1419;CASQ.BIELA TOY.1S/2S/3S/4S  81-;TAHIO/NDC;JAPON;TOYOTA;JGO;STD                         R024A/CB-1404/CB-1419;88,53
2.694;12280-BC20A-STD;TW-1227A;AXIAL CIG.NIS.HR15/HR16DE TIIDA;TAHIO/NDC;JAPON;NISSAN;JGO;STD;0,00
2.695;48521-ET00A;SR-N290;ROTULA CREMALLERA NIS.B16 SENTRA 07-;555;JAPON;NISSAN;PZA;14x12N/Fx267x50      SR-N290;0,00
2.696;13041-64030-025;R038A/CB-1408A;CASQ.BIELA TOY.1C/2C  OLD  S/RH;TAHIO/NDC;JAPON;TOYOTA;JGO;025                              R038A/CB-1408A;177,06
2.697;13041-64030-050;R038A/CB-1408A;CASQ.BIELA TOY.1C/2C  OLD  S/RH;TAHIO/NDC;JAPON;TOYOTA;JGO;050                              R038A/CB-1408A;0,00
2.698;13041-64030-075;R038A/CB-1408A;CASQ.BIELA TOY.1C/2C  OLD  S/RH;TAHIO/NDC;JAPON;TOYOTA;JGO;075                             R038A/CB-1408A;0,00
2.699;13041-64030-1.00;R038A/CB-1408A;CASQ.BIELA TOY.1C/2C  OLD  S/RH;TAHIO/NDC;JAPON;TOYOTA;JGO;0.100                           R038A/CB-1408A;0,00
2.700;13041-64030-STD;R038A/CB-1408A /CB-1448;CASQ.BIELA TOY.1C/2C  OLD  S/RH;TAHIO/NDC;JAPON;TOYOTA;JGO;STD                         CB-1408A/R038A/CB-1448;0,00
2.701;31420-87402;CMD-004/CMD-007-CARO;BOMBA EMBRAGUE TOY.DAI.2SZ-FE/1SZ/TERIOS  00-14- RECTO;AISIN;JAPON*;TOYOTA/DAI;PZA;2PERx100xS/LHxS/Tx5/8xALUxRECTO;0,00
2.702;13041-64050-025;R045A/CB-1421A;CASQ.BIELA TOY.1C/2C   NEW;TAHIO/NDC;JAPON;TOYOTA;JGO;025                             R045A/CB-1421A;0,00
2.703;10101-12G25;10101-85E25-NGC;EMPAQUE MOTOR NIS.VG30I/V6/D21 TERRANO 86-;NGC/TOWA/NPC/ER;TW.;NISSAN;JGO;;0,00
2.704;13041-64050-050;R045A/CB-1421A;CASQ.BIELA TOY.1C/2C   NEW;TAHIO/NDC;JAPON;TOYOTA;JGO;050                             R045A/CB-1421A;0,00
2.705;13041-65011-025;R704A/CB-1437;CASQ.BIELA TOY.3VZ/4VZ-FE/5VZ    DER.;TAHIO/NDC;JAPON;TOYOTA;JGO;025                             R704A/CB-1437;0,00
2.706;13041-65011-050;R704A/CB-1437;CASQ.BIELA TOY.3VZ/4VZ-FE/5VZ    DER.;TAHIO/NDC;JAPON;TOYOTA;JGO;050                             R704A/CB-1437;0,00
2.707;13041-68050-025;R033A;CASQ.BIELA TOY.12H-T   TURBO;TAHIO;JAPON;TOYOTA;JGO;025                             R033A;0,00
2.708;13041-68050-050;R033A;CASQ.BIELA TOY.12H-T   TURBO;TAHIO;JAPON;TOYOTA;JGO;050                               R033A;0,00
2.709;13041-68050-075;R033A;CASQ.BIELA TOY.12H-T   TURBO;TAHIO;JAPON;TOYOTA;JGO;075                               R033A;0,00
2.710;13041-68050-STD;R033A;CASQ.BIELA TOY.12H-T   TURBO;TAHIO;JAPON;TOYOTA;JGO;STD                             R033A;0,00
2.711;13041-71020-025;R041A/CB-1407A;CASQ.BIELA TOY.1Y/2Y/3Y/4Y;TAHIO;JAPON;TOYOTA;JGO;025                              R041A/CB-1407A;144,00
2.712;13041-71020-050;R041A/CB-1407A;CASQ.BIELA TOY.1Y/2Y/3Y/4Y;TAHIO;JAPON;TOYOTA;JGO;050                              R041A/CB-1407A;144,00
2.713;13041-71020-075;R041A/CB-1407A;CASQ.BIELA TOY.1Y/2Y/3Y/4Y;TAHIO;JAPON;TOYOTA;JGO;075                            R041A/CB-1407A;144,00
2.714;13041-71020-1.00;R041A/CB-1407A;CASQ.BIELA TOY.1Y/2Y/3Y/4Y;TAHIO/NDC;JAPON;TOYOTA;JGO;0.100                            R041A/CB-1407A;0,00
2.715;13041-71020-STD;R041A/CB-1407A;CASQ.BIELA TOY.1Y/2Y/3Y/4Y;TAHIO;JAPON;TOYOTA;JGO;STD                            R041A/CB-1407A;101,82
2.716;13041-74030-025;R710A/CB-1441;CASQ.BIELA TOY.3S-FE/5S-FE;TAHIO*;JAPON;TOYOTA;JGO;025                              R710A/CB-1441;168,00
2.717;13041-74030-050;R710A/CB-1441;CASQ.BIELA TOY.3S-FE/5S-FE;TAHIO*;JAPON;TOYOTA;JGO;050                  R710A/CB-1441;168,00
2.718;13041-74030-075;R710A/CB-1441;CASQ.BIELA TOY.3S-FE/5S-FE;TAHIO*;JAPON;TOYOTA;JGO;075                           R710A/CB-1441;180,00
2.719;13041-74030-1.00;R710A/CB-1441;CASQ.BIELA TOY.3S-FE/5S-FE;NDC/TAHIO*;JAPON;TOYOTA;JGO;0.100                        R710A/CB-1441;0,00
2.720;13041-74030-STD;R710A/CB-1441;CASQ.BIELA TOY.3S-FE/5S-FE;NDC/TAHIO*;JAPON;TOYOTA;JGO;STD                           R710A/CB-1441;112,05
2.721;13041-75010-025;R703A/CB-1435/R711A;CASQ.BIELA TOY.1RZ/2RZ/3RZ/2TZ-FE;TAHIO/NDC;JAPON;TOYOTA;JGO;025                            R703A/CB-1435/R711A;161,21
2.722;13041-75010-050;R703A/CB-1435/R711A;CASQ.BIELA TOY.1RZ/2RZ/3RZ/2TZ-FE;TAHIO/NDC;JAPON;TOYOTA;JGO;050                            R703A/CB-1435/R711A;113,38
2.723;13041-75010-075;R703A/CB-1435/R711A;CASQ.BIELA TOY.1RZ/2RZ/3RZ/2TZ-FE;TAHIO/NDC;JAPON;TOYOTA;JGO;075                            R703A/CB-1435/R711A;0,00
2.724;13041-75010-1.00;R703A/CB-1435/R711A;CASQ.BIELA TOY.1RZ/2RZ/3RZ/2TZ-FE;TAHIO/NDC;JAPON;TOYOTA;JGO;0.100                         R703A/CB-1435/R711A;0,00
2.725;10101-24WG0-T;;EMPAQUE MOTOR NIS.J18;NPC/TOWA;JP;NISSAN;JGO;;0,00
2.726;13041-75010-STD;R703A/CB-1435/R711A;CASQ.BIELA TOY.1RZ/2RZ/3RZ/2TZ-FE;TAHIO/NDC;JAPON;TOYOTA;JGO;STD                            R703A/CB-1435/R711A;104,37
2.727;13042-D0100;34x48x8       N2212;RETEN CIGÜEÑAL DEL.NIS.CA16/CA18/CA20;MUS;JAPON;NISSAN;PZA;34x48x8                     N2212/NJ-285;0,00
2.728;13043-T7200;58x80x12     N2028;RETEN CIGÜEÑAL DEL.NIS.TD42/SD23/SD25;MUSASHI;JAPON;NISSAN;PZA;58x80x12                    N2028;0,00
2.729;13060-95000;21x38x10     NY-2110;RETEN BOMBA INYECTORA NIS.FE6 /FD6;TOYO;JP.;NISSAN;PZA;21x38x10                    NY-2110;0,00
2.730;13070-01M00-BKB;;RODAMIENTO TESADOR NIS.E13/E15/E16/CD17 B/ACEITE HUECO DELXXXXX;BKB;TW.;NISSAN;PZA;8.5x60.5x27.5;0,00
2.731;13070-01M00-MRK;TBK60-27;RODAMIENTO TESADOR NIS.E13/E15/E16/CD17 B/ACEITE;MRK;JAPON;NISSAN;PZA;8.5x60.5x27.5             TBK60-27;0,00
